,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C
θ/δ,1.28198311377607,0.717877566721777,0.830719957629077,0.407821742760397,0.812405603578573,0.645245410689039,0.861978073823163,0.897157936596222,0.730629946855417,0.628116649655159,1.30104692134523,1.32277225420787,1.43647449742374,1.02489630255559,0.873499439430054,0.867198169155077,0.634350404332198,1.34444196679021,1.02551983250091,1.16654833466299,1.7335854312928,1.27470687428851,1.24702042758725,1.01959004953257,0.816979794172505,1.60985883282433,0.825728687993029,1.53251767936102,1.09885581493176,1.02718211836606,1.07108709488342,1.3363004412601,0.832279095678682,1.37481194480173,0.648673089670793,0.672429620699327,0.701252729392798,1.02724981903476,0.952822231043859,1.18796929886771,1.25849200128902,1.5535108978302,1.51882659901503,0.753510075818437,1.42823529110479,0.995043093196199,0.913523004356915,1.03900621108681,0.706348741179139,1.34139849163182,0.936699993621256,0.811784443466019,0.86539213624068,0.5712402716059,0.344369897070645,0.540954599035204,1.39800481399794,1.31666091007975,0.783395328242095,0.938896710218652,1.04777484867557,1.04777484867557,0.891478265808608,0.762930715152462,0.840293850436502,1.27347572353705,0.813539627431272,0.99805334472677,0.67424525895304,1.18702757785693,0.864274363934017,1.43700000009737,1.22430537252423,0.759965849164958,0.784219885980254,0.98963952770826,1.3230125822519,1.19114970575863,1.06087227628849,1.10713427383576,0.833520670530861,0.911174356254365,1.07965181528789,1.27061304192432,1.22930016989602,0.902173283210037,1.32197443588924,0.786873043363593,1.18223145143103,0.814315246145375,1.18223145143103,1.03141637514614,1.50762075002976,1.21447081758908,1.1265261025693,1.00888928643919,1.2490218027868,1.34516978230145,1.18069132076204,1.4358590422804,1.27675266098042,0.892669659940448,1.61779466890396,1.4568165547615
α/δ,1.21566248805981,0.251571397514686,0.620724461000976,-0.0773702252968109,0.281741430293062,0.264030465214936,0.325482177229349,0.533481223359017,0.426525268510571,0.206999708916808,1.40618843445808,1.13420782348183,1.9159409617374,0.465230458015969,0.448771602280373,0.60237959176673,0.235530117986135,1.29424332545797,0.304743182003104,0.633689948237614,2.10407543101764,1.09411876111837,1.20957266881619,0.812542665029314,0.521555437929824,2.12064363900155,0.184563800485364,1.65992903143795,0.96759576003405,0.615455232854399,0.677657489236137,1.27530656058528,0.400331471168411,1.27306980179639,0.281888305256408,-0.0175798377391595,0.156270380342823,0.680241484657953,0.446542422832154,0.961729225757191,1.16556583430555,1.85532780606652,1.80630899225546,0.0643758988243243,1.33049340509856,0.636195270204393,0.53234916117001,0.696578554858495,0.280527874277139,1.39072615319604,0.577652681752576,0.288345136490297,0.510941703070228,-0.0979236218886543,-0.470352169392351,0.01695148822474,1.39713662160093,1.21659907808986,0.188818684947566,0.607678184547392,0.694238851567651,0.694238851567651,0.452041627917803,0.291068020859431,0.356793478878631,1.02590564035886,0.3647860597233,0.738213996858625,0.157664449520411,0.9506529445798,0.409076970624977,1.47089773157994,1.30201440371994,0.229867669262032,0.279910574573332,0.674397217658319,1.47731240986871,0.783819767939891,0.474692772943746,0.773339600052831,0.255674349253061,0.620307492501026,0.84638042266691,1.2605065449927,0.939895720520443,0.270099934458423,0.971772094992357,0.415303257869139,0.745880850675973,0.403627558612623,0.745880850675973,0.707578128954717,1.58645553363585,0.955449337096588,0.775020457207217,0.576257375077658,0.825905371545501,1.18474496355032,0.917398428480356,1.14613847826036,0.846033445551698,0.195242819039875,1.54111575311109,1.4429160856959
β/δ,0.963564268691883,1.21544097461243,1.04800672010936,0.593959080156398,0.787679968691803,0.616769658748589,0.812323499735663,1.01898678584761,0.832898360523831,0.583830013915553,1.53870080950007,1.5489241234526,1.69576653036482,0.784863990133459,1.09684778562225,0.868085578957713,0.596299616303428,1.23649997903555,0.950198263381583,0.669847579482306,1.67750452957,2.23405666742147,1.59609457563626,1.14316530437316,1.35303068180129,1.99572278719612,1.07715324741879,1.75182743086625,1.71596234678648,0.968928569699009,1.32927735881549,1.71868264182044,1.31588820763629,1.72486036891635,0.595905818922347,0.57569347303052,0.58901502723111,1.41366456269389,1.34499515329758,0.98595555869249,1.97345538797692,2.07177667094085,1.61828363561592,0.974393500677373,1.07150985976926,0.975430827551566,1.34786412210499,1.15579368100873,0.949558671665763,1.55130005786073,0.987215444287886,1.1757017655453,1.81508520443718,0.492036968391979,0.246743772405025,0.761531486256635,2.46039156131828,1.79736781389165,1.20160104658864,0.61387207510025,1.31700917119079,1.31700917119079,0.935250768740332,0.749368393285362,0.782131412547461,1.33459014126387,1.20560318564504,1.51306234760436,0.647981792234125,1.45743414180478,1.03703195267935,2.04539925553257,2.23300364731625,0.656823589460455,0.882935138162108,1.15107922819703,1.65534720850443,0.829881189473418,0.476166563276166,0.662051186824887,0.691112687987158,0.815761209782087,1.7134348156529,1.33228780818997,1.0930401725213,0.681265211193681,1.08525788356529,0.637456976981396,0.901690561163012,0.671268380733784,0.901690561163012,1.0307466359259,1.90316566949715,1.35715100584162,1.81732565135053,0.861062614957516,0.875938928924546,1.10235178155818,1.10149720333028,1.41006009110735,0.731117798674241,0.83515064281764,2.50259453481414,1.99192256016604
γ/δ,0.143378940484925,0.992452152079945,0.260132369138088,0.201159723481413,0.269423321931341,0.198973291993885,0.0584888452220718,0.561088685338438,0.487966913783327,0.347791341602222,0.551800100123428,0.162794387420324,0.434438688376573,-0.12595722564543,0.799671846306255,0.308493295934954,0.15104288838905,-0.119953909142522,0.27139883540497,-0.105664995717742,0.557413031334433,1.82440431375563,0.496325363209919,0.180843475848101,0.347400191563017,-0.00201873349426339,0.401326301864913,0.278965712817912,1.0065482034355,-0.125018329315035,0.638756223040014,0.589168550945005,0.86003323938952,0.810745729336023,-0.29325236319999,0.101197729344043,-0.188994574549907,1.00807084076651,0.627712937914379,0.232773920608015,1.02134752865005,0.191501506188227,-0.0703601420596183,-0.134882470013916,0.334604966959645,0.355480803964465,0.580464527309937,0.178748459461452,0.366535501923611,0.429569193602991,0.273913659510956,0.883972890988822,1.16776187479277,0.298288183496698,0.0986571766217188,0.430858625601177,1.42183611461495,0.901901469799306,0.816188680781726,-0.125955468999717,0.117424718976806,0.117424718976806,0.634681504995298,0.423290677570497,0.268077427345943,0.460435349745182,0.707433944534015,0.954990745503376,0.367475924916904,0.748174274144609,0.134411591510557,0.713752557882649,0.84799942820548,-0.386851981709975,-0.826621974622863,0.73497358459857,-0.527405932811544,0.265798438160024,-0.184592753838402,-0.89985095561126,-0.756311497202707,-0.473664273912934,1.05849734370983,0.102566826787383,0.556102855286623,0.229769016393537,-0.599293296704605,-0.780591975074119,0.213055525481908,0.276115952724286,0.213055525481908,0.25339352860441,0.661324872643902,-0.346994760636288,0.840191035121359,-0.226712970128265,-0.0671438996479402,-0.130771240491135,0.0708736965182682,0.511533727160059,-0.736243540207773,0.302996387779201,0.348807819292597,0.937900876230695
α/θ,0.874925542366727,0.291023203367223,0.653942548133788,0.350790466766505,0.488649183980194,0.345495401663495,0.240650615680381,0.582064888607926,0.485221902346322,0.25569960301214,1.04411429433363,0.808648436006445,1.2340547392732,0.41333398661332,0.47046278861615,0.655816534483088,0.290018510973788,1.09563060948192,0.361332209523173,0.495479199140654,1.35542865586433,0.754605392212622,0.881775123364416,0.745466755521633,0.606909326071464,1.24869261773409,0.165535571229088,1.04890042289652,0.790537067658896,0.639423720949213,0.582566191740807,1.28927367177452,0.562521240293394,0.971966825789179,0.373214466297595,0.399909725519259,0.166690887498643,0.613197548473817,0.421430838665542,0.764212952839134,0.991054196607607,1.15290744432527,1.1943185938795,0.0256456643075168,0.906288765412417,0.891554863830435,0.513026840119835,0.623333160946723,0.314672546039418,0.983269416050132,0.623806434028299,0.396685972889586,0.51114833426882,0.506404397027866,0.238743732250005,0.849001252969037,0.972619099025344,0.876024322434805,0.158343843097915,0.59289493185103,0.64301131824308,0.64301131824308,0.442127395840265,0.315750384482101,0.380854000848735,0.77921243789956,0.447768395879066,0.693678034056872,0.372066647923959,0.840802053914913,0.439570637518651,1.00957301173584,1.03120860614479,0.302144162180157,0.426677991914548,0.614232506791608,1.12643020749805,0.632939525415981,0.413335954409751,0.701122081519694,0.350929770268235,0.607662290933047,0.723785645931672,0.948537572755639,0.727179729266209,0.206921713872983,0.742126771997633,0.460931057390805,0.610195371772039,0.43750053644214,0.610195371772039,0.646654228256637,1.00330121682456,0.798650657409486,0.64616583932167,0.537036267173852,0.608458639612878,0.878378640928923,0.781355660475778,0.785509877795366,0.624213006466184,0.243044648290224,1.02508545021519,1.02267073677711
β/θ,0.750103602839478,1.77541070918434,1.2565751736864,1.15122529197896,1.18490207502318,0.968193952999375,0.913926076142472,1.12509157689703,1.12813444118588,0.92190800714204,1.28327425149861,1.18252977080471,1.10771828625361,0.78117967297528,1.4550210176688,1.00561427364293,0.959264218872083,1.04312451116605,1.0707587799488,0.59006341917661,1.1774649993452,1.91395864894157,1.22079721479083,1.09742165058453,1.63961381806596,1.21074824787883,1.61155562331804,1.16816272323344,1.48399863903032,1.11031153665953,1.26530064120131,1.83726514269524,2.05270693776089,1.37379791494918,0.910312251980259,1.08440048728714,0.867912848440603,1.34779514958072,1.50041929783391,0.831958235540497,1.82021557306957,1.31164442771435,1.08147523162886,1.37058125535886,0.797749380416567,1.62244137106212,1.50725659357793,1.14777400947757,1.40471590168415,1.13778844752351,1.02372438426062,1.4178559141393,2.0471379741149,1.20490370295064,0.615703768526605,1.13204464012589,1.74792453477537,1.33040365324451,1.50716764123668,0.642370839927448,1.45555456470165,1.45555456470165,1.05477634868865,0.988473739499562,0.971167612390151,1.075677559371,1.5704665823796,1.54365197853116,0.923377072576586,1.37406690936802,1.22581192136693,1.51567948052797,1.89836194935402,0.910433886200179,1.13127394923515,1.2310089058185,1.29191815618034,0.711712381253318,0.4624098306497,0.642002397706097,0.805608170710735,0.893872560354241,1.57144742070818,1.05916720445433,0.91231340856464,0.78178816796238,0.893326131537537,0.813581259893384,0.768856445544838,0.824604980907984,0.768856445544838,0.999781145117736,1.25703111636493,1.19153694357987,1.64350091640522,0.890331326098354,0.713885120696183,0.863867284899788,1.00457800135921,1.02073397547344,0.591759731933674,0.960161180342661,1.72816765350005,1.53467548669565
γ/θ,0.123001734619743,1.37462223463834,0.339611661317153,0.676823836066896,0.25193611448078,0.289446800764272,-0.21319626852269,0.595731238757811,0.648016171042283,0.502599393913596,0.478679129343893,0.122575255461666,0.315683596506431,-0.177277850473416,1.09982910979285,0.354205769114913,0.200026201230651,-0.156074358272014,-0.00371168481858191,-0.112616549441802,0.367342890866555,1.38013512100956,0.38427394706426,0.165332560097692,0.430125327827277,-0.00796006823558453,0.567200026597451,0.159023631724777,0.861497648258996,-0.221596308153675,0.5752350121368,0.349444695063236,1.27347822194169,0.645215095926426,-0.545155837870504,0.206045683288878,-0.313812900482465,0.944758063535329,0.691990940584736,0.218558103227174,0.774394291146302,0.127714532347822,-0.0834943321829557,-0.275382241016269,0.282840457611429,0.995668655262055,0.577284153307016,0.141092159600505,0.444129223297345,0.307290626546289,0.325266385163741,1.01898834187806,1.15832638346516,1.02017217101569,0.431299390586061,1.00792344578766,0.949740602056833,0.679850999680735,0.96465574662836,-0.102415020119561,0.0723527251227511,0.0723527251227511,0.674684088387222,0.564926360942432,0.286447565874013,0.373857077050144,0.939247256879675,0.989738953313723,0.464995609886662,0.679474378935618,0.130044343761004,0.526679502382993,0.703512679955429,-0.520719937450962,-1.6845418398887,0.748685675718967,-0.461160232912034,0.247874810165744,-0.168283948076497,-0.990602759823136,-0.875638127017715,-0.519642483939327,0.983049033306911,0.0142993605207422,0.48127688711422,0.205941178206273,-0.517097637621178,-1.10877833489943,0.182690018528748,0.289721655830463,0.182690018528748,0.277053432844441,0.473176822726386,-0.319586169286385,0.715228667801412,-0.233075147049529,-0.0479389186849161,-0.132948966268941,0.0848887687752908,0.407471123006109,-0.56895326007052,0.315841534606274,0.18023650701111,0.689939320891907
β/α,0.919031601054839,1.218469370371,2.17949953405277,0.952520227424189,1.29446598295741,1.82436241130685,1.23672490506566,2.00552085401216,1.61415426565527,1.72535600780816,1.38501219451454,1.52295239285497,0.911295644460187,1.37219840325534,1.81164593098923,1.58694498176223,1.62607676600348,1.04318513939275,1.8800714981763,1.04605811342985,0.919410918636775,2.08656364308556,1.46048653009366,1.52813599226512,2.89960862262351,1.01469489092271,1.43184254968349,1.17742282859756,1.87560662687376,1.76203718280847,2.08981572198417,1.50508310589958,1.77844232702871,1.51028003307334,1.13658434483397,0.861083419489259,1.51436849177418,2.23424852703015,2.77550973611213,1.13247176739889,1.79892584815347,1.14683813842646,0.982009819182444,0.571389799321786,0.9088996886539,1.95489260731534,2.09184686213264,1.78528049473482,2.01230154105996,1.18075974502694,1.53571514716495,1.17523576262554,1.71406340855094,0.493258484092154,-0.23611991470428,0.580212502799306,1.82439997937499,1.56383784867432,1.66797417456202,1.12754684228153,1.99139111698987,1.99139111698987,1.78110100124537,2.133832629974,1.79536210781958,1.44773308864656,2.13530041438584,2.18851830779014,1.02702701810022,1.80329625896855,2.29917989098635,1.59497125286572,1.87406013625686,1.53707553045307,1.04158275829206,1.43695868701308,1.16429217889008,1.16781663748299,1.06879385429332,0.905167557722203,1.10630555801281,1.51597110502941,2.03858860823178,1.15040117742094,1.26241353556153,1.30069964545699,1.22847418183307,1.3599469148958,1.30072621339211,1.78328653983637,1.30072621339211,1.61599373701594,1.28462511406842,1.53701474013304,2.65663107116531,1.56391343081139,1.19009952005618,0.999416138428839,1.38876339960597,1.32475216644832,0.963865717991288,1.31785760866755,1.78607854013619,1.59966034036921
γ/α,0.166740860631523,1.30257927355909,0.588586867214657,1.21774696138718,0.898804558734259,0.634848813324849,0.671084122740061,1.08772082522292,1.020652273118,1.24693327193005,0.559572687328446,0.105225060773656,0.284235255305398,-0.00331240720661207,1.27734007344165,0.518210320751983,0.615757707202647,-0.0785680401730775,0.515913747333108,-0.200272822876125,0.360154609573472,1.39469527278554,0.445341190784759,0.205441343502575,0.745268453426397,0.00220366021438944,1.1548375193218,0.130227909784578,1.09475766196757,-0.291348433079928,0.880964821254721,0.308396020876784,1.38275037380366,0.709145028231141,0.0988153932299382,0.818228173065911,0.169336815439714,1.4560408494938,1.33930228368918,0.287686256927578,0.829324603385527,0.12046176803456,-0.0724254326324203,0.563874604170698,0.322861948776377,1.35156334421405,0.765931372964244,0.257178408804365,0.947405097525753,0.307965311246731,0.486329668649843,1.20526695967953,1.43110989244427,0.994817713729079,-0.128109795817516,1.01435838919732,0.910131911967922,0.79576430397528,1.49060650053452,-0.226890402475912,0.201126576668939,0.201126576668939,1.10498814722658,1.19915914843088,0.670307417683897,0.479133862094602,1.27698460947505,1.35367137723463,1.19632558898307,0.946545848979871,0.335707903266065,0.580691149487934,0.706752297831156,0.338188334159595,0.0218140419722492,1.04880509259005,-0.39202484689395,0.34375395230354,-0.426815503437318,-1.22428770543474,0.191848415765385,-0.901978839558418,1.36830439263989,0.0216065462941779,0.619385192789986,0.765703606361744,-0.740827253851708,-0.99291699673365,0.221599141577907,0.446721389700256,0.221599141577907,0.400057505407014,0.495519144869981,-0.376736363550091,1.01582487170218,-0.405188379609466,-0.258727978945711,-0.168519236359788,0.13180302656916,0.475735382501633,-1.11920108189842,0.904510389069167,0.206254164454965,0.722930553541323
γ/β,0.085035251649942,0.575158126339213,0.280283512696021,0.289484903564251,0.0394769809990182,0.275313672518094,-0.414483416021765,0.446095947059601,0.547756288179938,0.490954054097342,0.346972934575641,0.0226428269719243,0.300946627352783,-0.344591947334434,0.631869012726723,0.295373885611763,0.183454426545349,-0.174430286501521,-0.269133218831791,-0.690192711914373,0.298176360431327,0.628448755212647,0.308056311549607,0.142034734477035,0.279291055778008,-0.00222456095156134,0.192373609989084,0.10922064432376,0.588592164826917,-0.155675278946338,0.377643554075106,0.156167654596729,0.507939532384407,0.425022167977448,-0.714383626900365,-0.0988335679743704,-0.683864676242409,0.656588181356216,0.457498166776546,0.188755179626749,0.41744935670404,0.086551626354601,-0.138639547958018,-0.421168449574604,0.266996083953211,0.427076605579837,0.39098540469858,0.116476838418276,0.308262118251608,0.24571029064922,0.258168036458103,0.436015289673798,0.448824362306371,0.704800759088079,0.709410757973609,0.276026614454578,0.487933195547486,0.510026931061711,0.379239516770972,-0.250256325662272,0.0272547208686523,0.0272547208686523,0.447345851641673,0.49735294463046,0.291077543973756,0.257773891762402,0.435311860036617,0.587476944860395,0.608033350854317,0.437569721733812,0.0876213770776546,0.350051923130991,0.404677241896806,-0.0838287934094375,-1.67811131309556,0.52342220409054,-0.348565033103167,0.23722501359165,-0.899399599344091,-1.73721388688281,0.0435258725354321,-0.697873053132591,0.57938729258748,-0.0355144552314864,0.409591620902351,0.160052592252308,-0.672264751422356,-1.58403551654968,0.165052805198103,0.153202670869626,0.165052805198103,0.205607094300897,0.334165176755101,-0.222620877023501,0.430588682373716,-0.401750601045694,-0.366927643118188,-0.37227612436484,-0.0663621638941383,0.180435319561111,-1.43349315308791,0.243862831694237,0.105322935085072,0.347762068205737