,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C
θ/δ,,,,,,1.0328890801207,0.990622389653157,1.29552792940503,1.2177952965374,1.0066177892812,1.89367309153369,1.49766420486352,1.37619435480876,1.69598892817707,1.61951283075397,1.25291185380485,0.986197815206669,1.64715671934442,0.965375612921082,2.25420803251067,2.10701761707827,1.6497202041087,1.43874075495773,1.53606704776694,1.35747902116503,1.08565443215265,1.74381032758821,2.31973349513753,1.03071260506766,1.90648092872688,1.66488734124355,1.45533780719521,1.41164627467646,1.95569929372998,1.36242832731169,1.15473273887638,1.09360603597028,1.49979716730634,1.16525534520213,1.07415651856746,1.42024129311346,1.3358123968318,1.7803707062452,1.50202534687302,1.47986992856025,2.13157369462247,1.1441703281593,1.3945929689004,1.78163439857964,1.25715610192778,1.87388752527597,0.640352618954285,1.35437576831176,1.66222152733744,1.59623272299943,0.404271291806018,1.57548363130377,1.03806931489561,1.55900573231243,1.66488648755126,1.91596130033451,0.70729547519843,0.790343405426696,0.821077281413246,1.61511302673483,1.61592825288651,1.37172235470421,1.52040229247017,1.58735641531047,1.89733983291331,1.90442463736533,1.96605122855162,1.85349794199222,0.776740688357514,2.27296460220348,1.2085657555012,1.6346060397478,1.49049778865115,1.47101356242928,1.63276832385084,1.38087468440567,0.930301446221988,0.742160670947922,1.16775204549202,1.62993745713061,1.19656432246598,1.57539331610727,1.1209063491445,1.00904823782652,1.70006639596702,1.43195721713742,1.5700366131719,1.311515215734,1.39444267171498,1.42810987529538,1.2047321882143,1.78753072716718,1.28652018076552,1.29839157908,1.73188492784742,1.42594295053129,1.28321625804076,1.57764966013097,1.73194937054454
α/δ,2.19530499817729,-0.313800792115397,1.15871247176524,0.574183348551665,3.26105676055083,0.559323647473244,0.802195746193408,1.61498341443123,1.19205954188278,0.675379098863394,3.23375102094315,2.13743208556382,1.93427019599226,2.64177450041847,2.17857420285097,1.28861658478464,0.555953531366376,2.28383030602678,0.516923288894388,3.5876471027968,3.06728953631187,1.87186320357389,2.05027396892293,2.08408625502507,1.63848290986541,1.2944575269278,1.83015588084061,4.3221954123918,0.841327576605771,3.45353287067514,2.42266876892333,2.3950946612609,1.7587859474452,2.62276735956456,1.7220171596182,1.22914471510682,0.496524036324822,2.12779324418355,0.591880390125221,1.0478951255559,1.63178970968509,1.53127694293656,2.47104656976405,1.01489226951403,1.93366434825932,3.00210754888963,1.35760722175888,1.44420794180256,2.37782467706723,1.34716379892122,2.29065640188969,0.0671666271831923,1.3957863242749,2.09892290257709,2.14250717626512,-0.230065998857789,2.31621757242138,0.615303858247469,1.67019361347206,2.55584639838801,3.59357376357639,0.119840228432054,-0.079487281188269,0.278750560546275,1.84844096470305,2.07771483532275,1.32121426240981,1.66236085029826,1.69431917300965,2.25435798313554,3.47850811605785,2.33388715127576,3.06856142387462,0.573269304104251,3.81823024819587,1.60009910979621,2.35059819522996,1.71860108806914,1.42931247370654,2.34635412097453,1.81935980027191,0.810215017758459,0.952094093917579,1.77774888119204,2.15905076950873,1.15826096897437,1.90879717784592,1.40038728332669,1.17569988478204,2.05198309490694,1.38992016586254,2.33094044704754,1.64917956713078,1.8068529629545,1.65614268821449,1.18986968152057,2.75814050680551,0.933604939888841,1.3053038029328,2.43010039907863,1.63777890111489,1.00854259377379,2.01058164553517,2.52592743459556
β/δ,1.42374615049364,-0.0569201699162431,1.24332093839061,0.976048320345386,3.02956604536182,0.766709436371069,1.03726343986455,1.67574324952642,1.43178967597023,1.11448057560686,2.10421998502925,2.28959359561746,1.62169933848271,2.36160054268176,1.78101092383524,1.234574961543,0.761819143400431,1.90011759351795,0.347094904469826,2.70635066496745,2.02501197792198,1.89907653213003,2.1404764783541,2.13387636039093,2.32054395513705,1.25173665756541,1.94664501956841,3.21288432904171,1.37975814023223,3.02865628242599,2.17618617123292,2.13716168734758,1.67534225376641,2.44893949218416,1.55592014381819,0.985201422997667,0.831535065016427,1.59397381459284,1.34131174888633,0.940874909812215,2.42957027708749,1.70224689952817,1.74160635120461,1.00745586656795,1.28387945493188,2.84226920661754,1.95120401017202,1.35727446035705,2.86442383539836,1.27692327552723,2.31802594059663,1.02749795427859,2.37443365257206,1.69619793932342,2.55691185101067,0.265617051343179,2.04144705640941,1.06626308162367,1.64746866190565,2.47400239401081,2.88580961211799,0.688905211410492,0.178433638759681,1.10386151241695,2.15448449757538,2.37823511720689,1.00069151429424,1.80091101859192,1.32594290429918,2.09941329628901,3.15911594080528,1.53749253332841,2.80814422904838,0.611698619446556,3.70723270572393,1.80775904761828,2.36549005476033,1.42934372001292,1.25823611834584,1.70485470949189,1.8106771201627,0.770594920311867,0.96889188023876,1.41068681192318,1.78554167191856,1.21896364341654,1.75354867873603,1.24526747559244,1.2524495364519,1.49494584051901,1.604271143869,1.97196558024392,1.71658946617808,1.90455058979914,2.23176289155086,1.56432364894965,2.53478512515498,0.752195458102367,1.12477150318865,1.75394277107858,1.09361725227752,1.47713307557295,2.37744649474347,2.33789627162944
γ/δ,-0.230204906584059,0.657127669725113,0.140789238581487,0.838363872481527,1.23194705119604,-0.127080337918617,-0.21786149262761,0.494300952438122,1.11478465561049,0.28213915029827,0.171843089011513,0.848837604158659,0.752505959626592,0.349128510737073,0.94048106209254,0.0291916143420202,-0.0430816635291556,-0.147047535505116,0.2016403372076,-0.591860063801784,0.279260878367694,0.539393189177837,0.702124846709305,0.529030852705477,0.823223246655478,0.377219633045381,0.277356355664309,0.238175098481691,1.03591675472369,0.0289416157198343,0.710624720895054,0.574493165698036,0.825035463662211,0.448886276599523,-0.0735382558393677,-0.185392800179559,-0.303434430208981,0.408793188820335,0.395914719342795,0.358732797063725,0.852147069150707,0.261876695740438,-0.303907465406524,-0.115621393198753,0.190002171612141,0.104792518333867,0.84382347034405,0.143519920694241,0.39743808358382,0.368742101389232,0.369651807149396,0.638307269912829,1.23037135909956,0.102377345647175,1.52833524074475,1.11742995482637,0.196777807265205,0.0187676300626938,0.422332833211095,0.0554948776412658,1.08378753938248,0.562010747646372,-0.185524437892708,0.111868885127071,0.818830003361051,1.30142426533451,0.115304577302477,1.24534116963076,0.0283620012166599,0.661887001743739,0.534176920181579,-0.254291704275032,0.64995851053868,-0.125259706314639,0.641264631026749,1.20812073960714,-0.205193580825406,0.319324289557733,-0.130725835605994,-0.0651147356016552,-0.857101002213287,-0.158108238530058,0.388115907151398,-0.0229441533429264,0.203993226685404,0.248329351792326,-0.201741399467976,-0.552290776843008,-0.0691639784743673,0.170801573186571,0.246569995478829,0.634698976276098,0.649997764120727,0.719898521545487,0.0133672137071906,0.00258313912009553,0.0601297618586072,-0.184946912997926,-0.177064163476659,0.252711949631662,-0.331348723547672,0.454125470014956,0.859973175192061,0.306980291004121
α/θ,1.20372479767345,1.45332182476789,0.888256619980292,0.733753642214731,1.6847690947158,0.452687031691511,0.929011485462185,1.025639501424,1.10684564554639,0.601722682702279,1.63768225220968,1.30946708503793,1.25691741384071,1.7328157825106,1.25749202606499,0.971499035782738,0.473091868063788,1.25826898697314,1.37840123905739,1.55800202333178,1.62715850227308,1.10037305413009,1.3557078560619,1.24902456229045,1.09309076836341,0.920632926600241,1.0814602568968,1.79552945164661,0.78628153599308,2.1052967117301,1.25076318926614,1.25563562970767,1.90841675288368,1.4754358811223,1.85039716744891,1.48616706494648,0.371706797302683,1.09332962345184,0.491565016254433,0.814992180584886,1.12518316761929,1.11374498307492,1.24996422016315,1.17736705970029,1.19265039017375,1.42390092980468,0.975406962726188,0.958350648249589,1.18523940840359,1.03750187702583,1.22896249922543,0.375404911676674,0.904539468032824,1.20139844060907,1.22802229867338,2.00886910140836,1.33469273675653,0.56965163190485,1.03110706076826,1.44955812806771,1.69774817295196,0.392046124941563,0.0684269134383164,0.52047328903898,1.09613563719651,1.20132876817862,0.819898640626235,0.925799003862528,0.945006510727405,1.15883535135886,2.26721843356409,1.29000346952877,2.16127546985151,0.556038342172793,1.67908539111099,1.01936199311454,1.41613281766454,1.08517647117123,0.857270231091314,1.28809448114072,1.12873932069564,0.764491496112989,0.605836050257868,1.11494862690386,1.18299372243158,0.822432866704388,1.10661389953762,1.04147198476683,0.67552925426729,1.14037820706616,0.893289785893449,1.31559904909631,1.13230427463815,1.17204569782652,1.09502508016446,0.947425056151239,1.40715220451809,0.70207047269244,0.863404134408405,1.36155077582061,0.997263309467121,0.789513013111869,1.1858472878855,1.39597781378763
β/θ,0.800170517104832,1.35086633707647,0.975327918583297,1.2447348895884,1.71575324504363,0.728043705965321,1.19661207929546,1.09091811753112,1.42769448866505,1.1898210901391,1.05482112176397,1.4064679515407,1.06812128367231,1.52973310217831,1.04594383662722,0.958045446080667,0.742671443919582,1.08283286919406,0.784967660555185,1.18908444660886,1.10615711817882,1.22044901446282,1.4178376279071,1.28531610382784,1.59077908900001,0.898484409888973,1.26978231554103,1.33784565736123,1.302061966649,1.93363610846012,1.17856985505856,1.18817593865482,2.02077398139926,1.34439988436442,1.53910057298081,1.1041965758311,0.745647384940572,0.838642491431124,1.51986310283641,0.751282837877551,1.7173107810527,1.23899073644575,0.909131372406002,1.16903711286827,0.798142677379924,1.47631632255721,1.49512488523358,0.935118964374989,1.55378685907088,0.990453742544001,1.25849880499787,1.16222304351243,2.18690528907679,1.0257333099245,1.55564836353751,1.16280920692378,1.23161414171172,1.07014974476688,1.09705108311357,1.40305960734946,1.3923197188403,1.80151982105163,0.233407604664468,1.2674767340571,1.32546856058649,1.40785605745984,0.733613454919441,1.18712564946669,0.804058246075986,1.15081383367686,2.12496386457046,0.83045438767716,1.93818132465279,0.613913941856732,1.65967264590635,1.15468753624521,1.43143361444795,0.918626616624619,0.785949195210564,0.965959918854931,1.12427048468326,0.747082376064669,0.637606979099108,0.902237684782264,1.00028227950875,0.902821055504751,1.05436701298874,0.951637091142052,0.765955795400619,0.847535289696985,1.04930824516304,1.13649504566641,1.18994846236892,1.25545044466558,1.50437781092771,1.29475368650067,1.32295982339002,0.601511457565819,0.792358581971323,0.989960627675767,0.711762912272562,1.19847504712317,1.43832435205912,1.27978409334393
γ/θ,-0.113386798717955,0.213508023428731,0.116235744680631,0.830074301439523,0.644832012389854,-0.0970013629075592,-0.684202839490219,0.333053355491155,0.744343193061918,0.391066078624232,0.108609527171146,0.565365733421837,0.533031075448542,0.0748497770853624,0.586602416624868,0.0276926558844441,-0.015733867101482,-0.0912323417678216,-1.39070790455176,-0.236319850544855,0.0916257950581066,0.325051061139619,0.472455199635663,0.373251715335112,0.631303954000745,0.300648060969599,0.171468264099394,0.126982148962102,0.991851662502556,-0.188820489828389,0.410788347298496,0.392023388577322,0.290048481844659,0.171604329461034,-0.809938973887948,-0.740366605540241,-0.393934862102081,0.260057946878661,0.490701596453316,0.32009675440667,0.55619547357409,0.196534460534054,-0.14711346001336,-0.412077091493158,0.123390488872019,-0.0393349981275777,0.60669662951958,0.115872808030188,0.264768055079904,0.28425274302186,0.181437792983598,0.605208769290152,0.938362732827868,0.0298952166708714,0.99576583971457,-0.476130686935407,0.1176490500367,0.0286736007238638,0.280551634178499,0.0404949465604273,0.547935273898958,1.80751550946346,-0.255237146537123,0.450199831491077,0.536862047895955,0.803569476859758,0.161644214455854,0.839301927706402,0.0307253156955976,0.325058240986972,0.169695386270504,-0.22755022926182,0.282774663308255,-0.125939947620926,0.318244554347635,0.797728526392572,-0.148409642421445,0.233004237338053,-0.0367702971209863,0.0245695950483084,-0.544607414937694,-0.13705042397414,0.292175676511801,0.0604502016579096,0.133232991544573,0.197086693463687,-0.0571626135286917,-0.427625421891291,-0.0592597086629882,0.103828889444383,0.20468744552613,0.42657486445749,0.468764198889135,0.495591812032648,0.0148226965500859,0.0109556153952705,0.0739979687797088,-0.110486111713787,-0.118610635105756,0.161392214536416,-0.223480866875212,0.349335809312405,0.513377203838997,0.202429652978961
β/α,0.66922488130937,0.961605443174336,1.09422660251746,1.35592026535102,1.01327660464101,1.32185958254429,1.19548191710573,0.967635283030994,1.27093952772338,1.65306622994379,0.636544617439791,1.01931776913439,0.789821171809301,0.893424108827101,0.808451751015236,1.00344401445951,1.40780870654854,0.875710043754827,0.555811174226131,0.752943949451673,0.680683427574509,1.04141664899954,1.02177523066767,1.02099454201504,1.48018261807315,0.795963885631139,1.37179373243484,0.745449550707456,1.63678455166396,0.917975189344811,0.939087685739031,0.773253004203652,1.18528061877285,0.963266462276776,0.933378927693924,0.784715546013047,1.27251937767774,0.63536885135659,2.11225621552565,0.826002705648728,1.62285768081685,1.10110475507339,0.747423560230821,1.0036380597961,0.614814178915424,1.07549104947948,1.3834883274522,1.00893762479012,1.42045336490798,0.954336793438605,1.04435257049862,-0.0269804304255304,2.00432477910762,0.863745222658715,1.31485993394303,0.623404440559727,0.979973116562584,1.97155398854711,1.06069687060378,0.965591852522076,0.817996325201248,1.42464907046001,0.420756594269456,1.0517004772847,1.19119479053229,1.19626929878474,1.05940677576337,1.34770721605111,0.900536609762004,1.06087480546712,0.929712675045985,0.677603440694155,0.898976950555139,0.864188070730798,1.03870016016787,0.962663814966479,1.00080378990579,0.861717780301439,0.926057815430993,0.740206353847941,0.901909241044285,0.889377677781754,0.551933481615487,0.650340177477823,0.821344327350513,1.09411499104691,0.979235354103856,0.853567924432881,0.725570161986238,0.762519506304306,1.17961733687952,0.834931195370565,1.01466966211939,1.05624801130996,1.40582513286892,1.41342313827318,0.982876824098911,0.841034509726365,0.989556605413851,0.729687784854805,0.803034733601869,1.5688297293924,1.23698193846843,0.924263160219258
γ/α,-0.0923027833641368,-0.0844302951652443,0.129740069117524,1.06077626074276,0.384818153804613,-0.11015561549107,-0.502037365190086,0.2731116106122,0.736758219557295,0.614049609937598,0.0752577758487794,0.43676709862032,0.419255871690862,0.0757390162591118,0.462454693279073,0.019566374103119,0.0330666916185834,-0.0757480900411143,-0.956688230498192,-0.157021946730957,0.0854714881451152,0.333332991620404,0.343930429377628,0.318452911126811,0.62252393669608,0.278984195492559,0.213672080985299,0.0731326132040414,1.26256065194345,-0.0713216406951132,0.316189582328021,0.338960910648562,0.25674445759044,0.176214540786305,-0.384994976592214,-0.428080124707182,-0.134702405118428,0.20057170330117,0.747491197470935,0.359008733134732,0.510566189432347,0.179581701535137,-0.132439623371055,-0.419930917057207,0.0998504044671978,-0.0439245547633916,0.568213517982688,0.113834385856842,0.266391757108461,0.274645445954488,0.156812308738641,-0.125883060258311,0.979524696338759,-0.0063446739593849,0.885640357432687,-0.428345916678924,0.0864819502759552,0.000349404186574361,0.254409761957256,0.0258924589758374,0.340182273845392,1.58056251947991,0.615699546645862,1.04689705559387,0.483612624927031,0.700820857258749,0.243761594549376,0.89534280584239,0.0421638893426195,0.319288890379902,0.120924580063942,-0.176465983925658,0.156791267213926,-0.377170919235341,0.229947581257266,0.695999569870039,-0.0806954449872331,0.23662322582795,-0.0375484269109712,0.00685910330285099,-0.455106347114769,-0.200823451258403,0.275293555891986,0.0875531159069395,0.0907034498312325,0.20579983606487,-0.00270711719293396,-0.376067048843937,-0.0691774187195891,0.0579619510292563,0.252926283471013,0.339078115930578,0.408993128166298,0.425518840286445,-0.00410442506782627,0.0144273439895095,0.0629531760790021,-0.18467330614859,-0.112636739221888,0.135310042417577,-0.342406873213708,0.350838408186509,0.427697976871273,0.154088847404443
γ/β,-0.159343310439131,-0.334971686140302,0.112560729351711,0.611165059075788,0.367948586316964,-0.223393574516601,-0.87973930752346,0.263776520486983,0.521927977242413,-0.0211634514199216,0.102982380368902,0.410612962121539,0.47530947906018,0.0840907184105689,0.532842408812819,0.0208121391039823,-0.0670647271022604,-0.0829546429403494,-1.93326821503077,-0.237192335836713,0.0770969461111574,0.249008659582286,0.326925311504571,0.302378578560555,0.404439443168383,0.281003701442137,0.0927165947673818,0.095886640733799,0.757048598043529,-0.0707762452842129,0.316661202160909,0.343649116071078,0.195841458985165,0.118493328687333,-0.45738313853325,-0.859843323126331,-0.697148046332801,0.238774304142408,0.295670819092425,0.332180741229354,0.319619146002023,0.167451356585371,-0.213123225393634,-0.444046515773529,0.133756978516103,-0.0319676199013421,0.364234814289553,0.112793378840757,0.174566257616931,0.282892031116557,0.134080667854737,-0.33167933609995,0.42732039167329,-0.0112430040283177,0.6277556388729,-1.15814005981814,0.0893239464184944,0.0257953776071565,0.246631348382781,0.028292499789559,0.385737569331411,1.07523314093077,0.509764914065991,-0.364582821932124,0.380271118679604,0.573656760905822,0.100417144068562,0.565313426792976,0.0216643813321469,0.270372067908786,0.122776710403797,-0.286492248707058,0.168905165990599,-0.310958170924648,0.16314329429134,0.574563379076769,-0.0777701290505088,0.258151061492859,-0.146101650920625,-0.0157063867132802,-0.499571540559041,-0.216457113100974,0.24386624320529,0.0767248372561826,0.0912182699788301,0.168571515856539,-0.0183426919857011,-0.405470896956406,-0.0634377957383805,0.0601380587008557,0.196124471400428,0.366230560870601,0.379762714221363,0.382835093743237,0.017415411915139,0.00831681451906814,0.061912323259497,-0.437994244580659,-0.239517981747748,0.146846932293933,-0.394150018150428,0.206306120796297,0.331585310332398,0.147149937129836